Códice	token	lema	pos
BER	conujdar	convidar	VMN0000
BER	falagar	halagar	VMN0000
BER	logar	lugar	NCMS000
BER	conpannja	compañía	NCFS000
BER	maestria	maestría	NCFS000
BER	maria	María	NP000P0
BER	sabia	saber	VMII1S0
BER	recapdada	recaudar	VMPS0SF
BER	iornada	jornada	NCFS000
BER	cantada	cantar	VMPS0SF
BER	soldada	soldada	NCFS000
BER	comjgo	conmigo	PP1CSO00
BER	amjgo	amigo	AQ0MS0
BER	trigo	trigo	NCMS000
BER	contigo	contigo	PP2CSO00
BER	acabado	acabar	VMPS0SM
BER	uenturado	venturar	VMPS0SM
BER	ondrado	honrado	AQ0MS0
BER	loado	loar	VMPS0SM
BER	oyda	oír	VMPS0SF
BER	conplida	cumplir	VMPS0SF
BER	comedida	comedir	VMPS0SF
BER	partida	partida	NCFS000
BER	uenturado	venturar	VMPS0SM
BER	pagado	pagar	VMPS0SM
BER	desmesurado	desmesurar	VMPS0SM
BER	engannado	engañar	VMPS0SM
BER	aguyiar	aguijar	VMN0000
BER	destaiar	destajar	VMN0000
BER	folgar	holgar	VMN0000
BER	organar	UNK	VMN0000
BER	furtar	hurtar	VMN0000
BER	alçar	alzar	VMN0000
BER	gobernar	gobernar	VMN0000
BER	dexar	dejar	VMN0000
BER	leemos	leer	VMIP1P0
BER	sabemos	saber	VMIP1P0
BER	auemos	haber	VMIP1P0
BER	creemos	creer	VMIP1P0
BER	bondat	bondad	NCFS000
BER	saluedat	salvedad	NCFS000
BER	uoluntat	voluntad	NCFS000
BER	magestat	majestad	NCFS000
BER	escriptura	escritura	NCFS000
BER	figura	figura	NCFS000
BER	escriptura	escritura	NCFS000
BER	segura	seguro	AQ0FS0
BER	caer	caer	VMN0000
BER	prender	prender	VMN0000
BER	defender	defender	VMN0000
BER	poner	poner	VMN0000
BER	crucijada	UNK	AQ0FS0
BER	parada	parar	VMPS0SF
BER	atada	atar	VMPS0SF
BER	tirada	tirar	VMPS0SF
BER	quisieron	querer	VMIS3P0
BER	toujeron	tener	VMIS3P0
BER	sopieron	saber	VMIS3P0
BER	fizieron	hacer	VMIS3P0
BER	acorrer	acorrer	VMN0000
BER	ualer	valer	VMN0000
BER	tener	tener	VMN0000
BER	fazer	hacer	VMN0000
BER	colgado	colgar	VMPS0SM
BER	ujado	viado	AQ0MP0
BER	enbargado	embargar	VMPS0SM
BER	pagado	pagar	VMPS0SM
BER	parientes	pariente	NCCP000
BER	querientes	querer	VMPP0PC
BER	dolientes	doliente	AQ0CP0
BER	mjentes	miente	NCFP000
BER	danno	daño	NCMS000
BER	banno	baño	NCMS000
BER	escanno	escaño	NCMS000
BER	anno	año	NCMS000
BER	enforcaron	ahorcar	VMIS3P0
BER	dexaron	dejar	VMIS3P0
BER	degollaron	degollar	VMIS3P0
BER	gozaron	gozar	VMIS3P0
BER	.	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	???	PUNCT	PUNCT
BER	sano	sano	AQ0MS0
BER	???	PUNCT	PUNCT
BER	??o	UNK	UNK
BER	???	PUNCT	PUNCT
BER	??on	UNK	UNK
BER	querria	querer	VMIC1S0
BER	conpannja	compañía	NCFS000
BER	uenja	venir	VMII3S0
BER	mongia	monjía	NCFS000
BER	derechura	derechura	NCFS000
BER	folgura	holgura	NCFS000
BER	escriptura	escritura	NCFS000
BER	mesura	mesurar	VMIP3S0
BER	amor	amor	NCMS000
BER	morador	morador	AQ0MS0
BER	peccador	pecador	NCMS000
BER	meior	mejor	AQ0CS0
BER	mandado	mandado	NCMS000
BER	recapdado	recaudar	VMPS0SM
BER	enconado	enconar	VMPS0SM
BER	grado	grado	NCMS000
BER	claridat	claridad	NCFS000
BER	sanctidat	santidad	NCFS000
BER	uoluntat	voluntad	NCFS000
BER	seguridat	seguridad	NCFS000
BER	honrrado	honrado	AQ0MS0
BER	criado	criar	VMPS0SM
BER	amortaiado	amortajar	VMPS0SM
BER	loado	loar	VMPS0SM
BER	guya	guía	NCCS000
BER	dizia	decir	VMII3S0
BER	maria	María	NP000P0
BER	dia	día	NCMS000
BER	sepultura	sepultura	NCFS000
BER	bassura	basura	NCFS000
BER	mesura	mesura	NCFS000
BER	uentura	ventura	NCFS000
BER	transido	transido	AQ0MS0
BER	es??ido	UNK	UNK
