Códice	token	lema	pos
RIM	perder	perder	VMN0000
RIM	padesçer	padecer	VMN0000
RIM	mandamiento	mandamiento	NCMS000
RIM	Siento	sentar	VMIP1S0
RIM	Sediento	sediento	AQ0MS0
RIM	fanbriento	hambriento	NCMS000
RIM	fauor	favor	NCMS000
RIM	rrencor	rencor	NCMS000
RIM	error	error	NCMS000
RIM	pecador	pecador	AQ0MS0
RIM	sesto	sexto	NCMS000
RIM	faras	hacer	VMIF2S0
RIM	aueras	haber	VMIF2S0
RIM	veras	ver	VMIF2S0
RIM	enojaras	enojar	VMIF2S0
RIM	sumio	sumir	VMIS3S0
RIM	dio	dar	VMIS3S0
RIM	crio	criar	VMIP1S0
RIM	defendio	defender	VMIS3S0
RIM	departidas	departir	VMP00PF
RIM	aborreçidas	aborrecer	VMP00PF
RIM	vidas	vida	NCFP000
RIM	comidas	comida	NCFP000
RIM	tal	tal	DD0CS0
RIM	desygual	desigual	AQ0CS0
RIM	al	a·el	SPS00·DA0MS0
RIM	mortal	mortal	AQ0CS0
RIM	pecados	pecado	NCMP000
RIM	desaguisados	desaguisado	AQ0MP0
RIM	perdonados	perdonar	VMP00PM
RIM	apartados	apartado	NCMP000
RIM	seteno	séptimo	NCMS000
RIM	furtaras	hurtar	VMIF2S0
RIM	rrobaras	robar	VMIF2S0
RIM	erraras	errar	VMIF2S0
RIM	guardaras	guardar	VMIF2S0
RIM	ladronia	ladronía	NCFS000
RIM	rroberia	robería	NCFS000
RIM	dia	día	NCMS000
RIM	valia	valía	NCFS000
RIM	ochauo	ochavo	AO0MS0
RIM	testigo	testigo	NCCS000
RIM	enemigo	enemigo	NCMS000
RIM	abrigo	abrigo	NCMS000
RIM	castigo	castigar	VMIP1S0
RIM	profaçar	profazar	VMN0000
RIM	burlar	burlar	VMN0000
RIM	enfamar	infamar	VMN0000
RIM	dañar	dañar	VMN0000
RIM	profaçe	profazar	VMIS1S0
RIM	se	se	PC3CN000
RIM	dañe	dañar	VMIS1S0
RIM	erre	errar	VMSP3S0
RIM	mandamjento	mandamiento	NCMS000
RIM	defender	defender	VMN0000
RIM	auer	haber	NCMS000
RIM	fazer	hacer	VMN0000
RIM	escoger	escoger	VMN0000
RIM	dia	día	NCMS000
RIM	quantia	cuantía	NCFS000
RIM	/	PUNCT	PUNCT
RIM	terrnia	tener	VMIC3S0
