Códice	token	lema	pos
BAG	sotil	sutil	AQ0CS0
BAG	doñjgil	UNK	AQ0CS0
BAG	mjll	mil	AQ0CS0
BAG	sotil	sutil	AQ0CS0
BAG	/	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	mueuo	mover	VMIP1S0
BAG	/	PUNCT	PUNCT
BAG	escriptura	escritura	NCFS000
BAG	cordura	cordura	NCFS000
BAG	locura	locura	NCFS000
BAG	ventura	ventura	NCFS000
BAG	/	PUNCT	PUNCT
BAG	çiertas	cierto	AQ0FP0
BAG	...	PUNCT	PUNCT
BAG	/	PUNCT	PUNCT
BAG	verdat	verdad	NCFS000
BAG	/	PUNCT	PUNCT
BAG	juzgat	juzgar	VMM02P0
BAG	denostat	denostar	VMM02P0
BAG	pariente	pariente	NCCS000
BAG	çertamente	ciertamente	RM
BAG	/	PUNCT	PUNCT
BAG	mjente	mente	NCFS000
BAG	verdadera	verdadero	AQ0FS0
BAG	primera	primero	AO0FS0
BAG	era	ser	VSII1S0
BAG	plazentera	placentero	AQ0FS0
BAG	culplar	UNK	VMN0000
BAG	Reptar	retar	VMN0000
BAG	dudar	dudar	VMN0000
BAG	fablar	hablar	VMN0000
BAG	prueua	probar	VMIP3S0
BAG	cueua	cueva	NCFS000
BAG	Nueva	nuevo	AQ0FS0
BAG	mueva	mover	VMSP3S0
BAG	criatura	criatura	NCFS000
BAG	natura	natura	NCFS000
BAG	mesura	mesura	NCFS000
BAG	locura	locura	NCFS000
BAG	pecador	pecador	NCMS000
BAG	amor	amor	NCMS000
BAG	peor	peor	AQ0CS0
BAG	mejor	mejor	AQ0CS0
BAG	priso	prender	VMIS3S0
BAG	rrepiso	arrepiso	AQ0MS0
BAG	rriso	riso	NCMS000
BAG	quiso	querer	VMIS3S0
BAG	señora	señor	NCFS000
BAG	ella	el	DA0FS0
BAG	mora	morar	VMIP3S0
BAG	atora	torá	NCFS000
BAG	seda	seda	NCFS000
BAG	leda	ledo	AQ0FS0
BAG	queda	quedo	AQ0FS0
BAG	moneda	moneda	NCFS000
BAG	puesta	poner	VMP00SF
